Date,Company,Open,High,Low,Close,Volume,Open.1,High.1,Low.1,Close.1,Volume.1,Headline,SentimentLabel,Compound,Inflation Rate,Unemployment Rate,GDP Growth
,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,,,
2025-08-01,RELIANCE.NS,1386.9000244140625,1405.9000244140625,1384.300048828125,1393.699951171875,10321171.0,,,,,,,,,,,
2025-08-04,RELIANCE.NS,1395.0999755859375,1416.0999755859375,1391.699951171875,1411.5,6312820.0,,,,,,,,,,,
2025-08-05,RELIANCE.NS,1411.0,1411.0,1388.0999755859375,1391.699951171875,9315972.0,,,,,,,,,,,
2025-08-06,RELIANCE.NS,1391.9000244140625,1395.9000244140625,1383.300048828125,1392.800048828125,5834312.0,,,,,,,,,,,
2025-08-07,RELIANCE.NS,1387.699951171875,1393.699951171875,1366.0,1389.4000244140625,9976705.0,,,,,,,,,,,
2025-08-08,RELIANCE.NS,1385.0,1397.199951171875,1365.0,1367.800048828125,8793606.0,,,,,,India’s Reliance Infrastructure to recover $2.44 billion in unpaid power dues - Latest news from Azerbaijan,Neutral,0.0,,,
2025-08-01,TCS.NS,,,,,,3029.89990234375,3036.800048828125,3000.0,3003.0,2053847.0,,,,,,
2025-08-04,TCS.NS,,,,,,3009.10009765625,3079.39990234375,2991.60009765625,3074.39990234375,2519252.0,,,,,,
2025-08-05,TCS.NS,,,,,,3074.39990234375,3077.5,3042.0,3063.89990234375,1927996.0,,,,,,
2025-08-06,TCS.NS,,,,,,3063.0,3066.800048828125,3026.0,3032.300048828125,1487081.0,,,,,,
2025-08-07,TCS.NS,,,,,,3016.0,3051.60009765625,3010.89990234375,3047.0,2543076.0,"India's TCS to hike wages of 80% employees after five-month delay, company mail shows - sg.finance.yahoo.com",Negative,-0.3182,,,
2025-08-08,TCS.NS,,,,,,3048.10009765625,3059.800048828125,3025.0,3036.39990234375,2762140.0,"TCS Layoffs Signal AI-Driven Job Shakeup: Up to 500,000 Indian IT Jobs at Risk, Experts Warn - Republic World",Negative,-0.4767,,,
2025-08-08,TCS.NS,,,,,,3048.10009765625,3059.800048828125,3025.0,3036.39990234375,2762140.0,India tech giant TCS layoffs herald AI shakeup of $283 billion outsourcing sector - Reuters,Negative,-0.1531,,,
